Designator,Footprint,Quantity,Value,LCSC Part #
"A1, A2",Pololu_Breakout-16_15.2x20.3mm,2,TMC2209BOB,
"C1, C2",0805,2,22uF,
C10,0402,1,1uF,
"C11, C23, C5",0402,3,0.1uF,
C12,0402,1,2.2uF,
"C13, C14, C15, C16, C17, C18, C19, C20",0603,8,470pF,
C21,CP_Elec_10x10,1,100uF,
"C22, C3",0402,2,100nF,
"C4, C7, C8, C9",1206,4,47uF,
C6,C_Elec_8x10.2,1,150uF,
"D1, D2, D3, D4, D5, D6, D7, D8",TSOT-23,8,D_Zener_Dual_CommonAnode_KKA,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_DIN965_Pad,4,MountingHole_Pad,
IC1,SiC437BEDT1GE3,1,SiC437BED-T1-GE3,
"J1, J4",AMASS_XT60PW-M,2,XT60PW-M,
J2,PinSocket_2x20_P2.54mm_Vertical,1,Raspberry_Pi_2_3,
L1,1008,1,1.5uH,
L10,SDR1307A101K,1,100uH,
"L2, L3, L4, L5, L6, L7, L8, L9",0603,8,80nH,
"Q1, Q2",PXP01230QLJ,2,PXP012-30QLJ,
R1,0402,1,10kΩ,
R2,0603,1,470k,
R3,1206,1,73.2kΩ,
"R4, R5",0402,2,100kΩ,
R6,0402,1,2.2Ω,
"RV1, RV10, RV11, RV12, RV2, RV3, RV4, RV5, RV6, RV7, RV8, RV9",0805,12,27V-c,
"StepperConnector1, StepperConnector2",Molex_Nano-Fit_105313-xx04_1x04_P2.50mm_Horizontal,2,Screw_Terminal_01x04,
TP1,TestPoint_Pad_1.5x1.5mm,1,Step1,
TP2,TestPoint_Pad_1.5x1.5mm,1,Step2,
TP3,TestPoint_Pad_1.5x1.5mm,1,Dir1,
TP4,TestPoint_Pad_1.5x1.5mm,1,Dir2,
U2,TSOT-23-6,1,LTC4412xS6,
